X,Y,numReview,avgReview,num,age,sex,job,zip
0.61236,0.5205,272,3.6103,1,24,M,technician,85711
0.058807,0.49899,62,3.7097,2,53,F,other,94043
0.017277,0.48663,54,2.7963,3,23,M,writer,32067
0.027146,0.49256,24,4.3333,4,24,M,technician,43537
0.3241,0.54986,175,2.8743,5,33,F,other,15213
0.49053,0.14726,211,3.6351,6,42,M,executive,98101
0.91539,0.28639,403,3.9653,7,57,M,administrator,91344
0.19486,0.52723,59,3.7966,8,36,M,administrator,05201
0.050044,0.44612,22,4.2727,9,29,M,student,01002
0.49933,0.17436,184,4.2065,10,53,M,lawyer,90703
0.35472,0.47764,181,3.4641,11,39,F,other,30329
0.20745,0.48564,51,4.3922,12,28,F,other,06405
0.86422,0.39051,636,3.0975,13,47,M,educator,29206
0.27347,0.38103,98,4.0918,14,45,M,scientist,55106
0.077136,0.56911,104,2.875,15,49,F,educator,97301
0.48267,0.46059,140,4.3286,16,21,M,entertainment,10309
0.043019,0.49058,28,3.0357,17,30,M,programmer,06355
0.65805,0.093368,277,3.8809,18,35,F,other,37212
0.047082,0.46002,20,3.55,19,40,M,librarian,02138
0.12744,0.53425,48,3.1042,20,42,F,homemaker,95660
0.13704,0.56987,179,2.6704,21,26,M,writer,30068
0.32275,0.56768,128,3.3516,22,25,M,writer,40206
0.40386,0.41639,151,3.6358,23,30,F,artist,48197
0.21887,0.48762,68,4.3235,24,21,F,artist,94533
0.249,0.43032,78,4.0513,25,39,M,engineer,55107
0.10858,0.62758,107,2.9439,26,49,M,engineer,21044
0.036101,0.49676,25,3.24,27,40,F,librarian,30030
0.2174,0.52004,79,3.7215,28,32,M,writer,55369
0.041957,0.44849,34,3.6471,29,41,M,programmer,94043
0.081767,0.49891,43,3.7674,30,7,M,student,55436
0.057523,0.38646,36,3.9167,31,24,M,artist,10003
0.065627,0.55957,41,3.3171,32,28,F,student,78741
0.005592,0.50477,24,3.7083,33,23,M,student,27510
0.0031072,0.4622,20,4.05,34,38,F,administrator,42141
0.003238,0.48411,25,3,35,20,F,homemaker,42459
0.0056958,0.47254,20,3.8,36,19,F,student,93117
