X,Y,numReview,avgReview,num,age,sex,job,zip,lat,lon,
0.6965,0.43223,272,3.6103,0,24,M,technician,85711,32.214,-110.884,
0.66056,0.51777,62,3.7097,1,53,F,other,94043,37.189,-121.705,
0.42967,0.33757,54,2.7963,2,23,M,writer,32067,29.956,-81.815,
0.38993,0.49596,24,4.3333,3,24,M,technician,43537,41.571,-83.685,
0.42305,0.32229,175,2.8743,4,33,F,other,15213,40.423,-79.981,
0.79454,0.59986,211,3.6351,5,42,M,executive,98101,47.432,-121.803,
0.6323,0.56198,403,3.9653,6,57,M,administrator,91344,33.787,-118.299,
0.64995,0.47924,59,3.7966,7,36,M,administrator,5201,42.934,-73.105,
0.39868,0.51673,22,4.2727,8,29,M,student,1002,42.367,-72.465,
0.73072,0.65338,184,4.2065,9,53,M,lawyer,90703,33.867,-118.069,
0.54024,0.4577,181,3.4641,10,39,F,other,30329,33.827,-84.325,
0.53033,0.61569,51,4.3922,11,28,F,other,6405,41.285,-72.796,
0.43223,0.61988,636,3.0975,12,47,M,educator,29206,34.03,-80.951,
0.56502,0.60691,98,4.0918,13,45,M,scientist,55106,44.957,-93.042,
0.35883,0.40517,104,2.875,14,49,F,educator,97301,44.905,-122.922,
0.70027,0.58351,140,4.3286,15,21,M,entertainment,10309,40.532,-74.219,
0.62809,0.43999,28,3.0357,16,30,M,programmer,6355,41.485,-72.001,
0.7792,0.64828,277,3.8809,17,35,F,other,37212,36.133,-86.804,
0.41913,0.4826,20,3.55,18,40,M,librarian,2138,42.38,-71.133,
0.29494,0.57125,48,3.1042,19,42,F,homemaker,95660,38.667,-121.388,
0.47661,0.31532,179,2.6704,20,26,M,writer,30068,33.971,-84.446,
0.60881,0.40995,128,3.3516,21,25,M,writer,40206,38.25,-85.703,
0.75041,0.53172,151,3.6358,22,30,F,artist,48197,42.202,-83.62,
0.67001,0.53143,68,4.3235,23,21,F,artist,94533,38.278,-122.02,
0.57106,0.64128,78,4.0513,24,39,M,engineer,55107,44.932,-93.088,
0.60971,0.41767,107,2.9439,25,49,M,engineer,21044,39.206,-76.888,
0.37952,0.4453,25,3.24,26,40,F,librarian,30030,33.773,-84.292,
0.47965,0.55113,79,3.7215,27,32,M,writer,55369,45.128,-93.459,
0.52469,0.44756,34,3.6471,28,41,M,programmer,94043,37.189,-121.705,
0.42965,0.50089,43,3.7674,29,7,M,student,55436,44.901,-93.423,
0.57023,0.5398,36,3.9167,30,24,M,artist,10003,40.73,-73.989,
0.49198,0.39879,41,3.3171,31,28,F,student,78741,30.231,-97.715,
0.33752,0.44283,24,3.7083,32,23,M,student,27510,35.905,-79.09,
0.38706,0.4808,20,4.05,33,38,F,administrator,42141,36.943,-85.941,
0.25905,0.41491,25,3,34,20,F,homemaker,42459,37.629,-87.989,
0.22047,0.39687,20,3.8,35,19,F,student,93117,34.504,-120.039,
0.44969,0.31916,57,3.6491,36,23,M,student,55105,44.935,-93.161,
0.1852,0.459,121,3.719,37,28,F,other,54467,44.414,-89.566,
0.39683,0.38015,22,3.7727,38,41,M,entertainment,1040,42.198,-72.642,
0.33902,0.48653,35,2.8857,39,38,M,scientist,27514,36.005,-79.054,
0.57404,0.56348,52,3.7692,40,33,M,engineer,80525,40.532,-105.207,
0.46699,0.66884,183,3.7268,41,30,M,administrator,17870,40.826,-76.858,
0.55499,0.67195,221,3.7104,42,29,F,librarian,20854,39.03,-77.235,
0.67324,0.5458,151,3.649,43,26,M,technician,46260,39.894,-86.138,
0.40261,0.40388,48,3.6042,44,29,M,programmer,50233,41.621,-94.212,
0.4575,0.50268,27,4.1111,45,27,F,marketing,46538,41.343,-85.824,
0.4212,0.47001,25,3.64,46,53,M,marketing,7102,40.736,-74.174,
0.64115,0.58248,66,3.7879,47,45,M,administrator,12550,41.385,-74.185,
0.75066,0.4501,215,2.6837,48,23,F,student,76111,32.795,-97.297,
0.27012,0.39799,24,3.5417,49,21,M,writer,52245,41.669,-91.518,
0.42826,0.46487,23,3.5652,50,28,M,educator,16509,42.049,-80.028,
0.58738,0.55542,56,4.2679,51,18,F,student,55105,44.935,-93.161,
0.42698,0.51096,28,3.8214,52,26,M,programmer,55414,44.975,-93.234,
0.37557,0.39567,65,3.6923,53,22,M,executive,66315,300,300,
0.49625,0.50291,21,3.2857,54,37,M,programmer,1331,42.547,-72.184,
0.45407,0.41255,187,3.6417,55,25,M,librarian,46260,39.894,-86.138,
0.36213,0.55268,106,3.5,56,16,M,none,84010,40.874,-111.871,
0.7714,0.55677,154,3.8377,57,27,M,programmer,52246,41.601,-91.589,
0.64934,0.43744,382,3.9346,58,49,M,educator,8403,39.324,-74.513,
0.72236,0.63266,208,4.0865,59,50,M,healthcare,6472,41.38,-72.773,
0.35225,0.51591,21,2.9524,60,36,M,engineer,30040,34.232,-84.158,
0.69538,0.43775,232,3.3017,61,27,F,administrator,97214,45.514,-122.642,
0.5923,0.4763,93,3.1183,62,31,M,marketing,75240,32.91,-96.789,
0.73168,0.57087,200,3.585,63,32,M,educator,43202,39.969,-83.011,
0.46923,0.59073,80,3.9375,64,51,F,educator,48118,42.314,-84.014,
0.38131,0.41173,38,3.4737,65,23,M,student,80521,40.592,-105.298,
0.28908,0.40221,30,3.7667,66,17,M,student,60402,41.812,-87.687,
0.67742,0.43637,34,3.0294,67,19,M,student,22904,38.04,-78.485,
0.63131,0.4645,65,3.8462,68,24,M,engineer,55337,44.772,-93.226,
0.62769,0.49448,131,3.4656,69,27,M,engineer,60067,42.102,-88.056,
0.54879,0.60676,38,3.7895,70,39,M,scientist,98034,47.725,-122.206,
0.63679,0.65224,137,3.8175,71,48,F,administrator,73034,35.631,-97.463,
0.75812,0.53355,66,3.7273,72,24,M,student,41850,300,300,300
0.44632,0.45715,39,3.641,73,39,M,scientist,T8H1N,300,300,
0.55745,0.37138,79,3.2785,74,24,M,entertainment,8816,40.428,-74.422,
0.71685,0.54277,82,3.561,75,20,M,student,2215,42.345,-71.108,
0.70276,0.51951,72,3.6111,76,30,M,technician,29379,34.7,-81.648,
0.35282,0.39294,21,3.381,77,26,M,administrator,61801,40.134,-88.182,
0.58384,0.53613,55,4,78,39,F,administrator,3755,43.861,-72.12,
0.48357,0.53574,29,3.7586,79,34,F,administrator,52241,41.7,-91.633,
0.39506,0.41614,58,3.2931,80,21,M,student,21218,39.328,-76.599,
0.69428,0.61236,168,3.0714,81,50,M,programmer,22902,38.027,-78.48,
0.22874,0.47498,155,3.4194,82,40,M,other,44133,41.315,-81.745,
0.5805,0.51266,68,3.8529,83,32,M,executive,55369,45.128,-93.459,
0.76532,0.60192,288,3.5382,84,51,M,educator,20003,38.86,-76.989,
0.29465,0.4204,23,3.5217,85,26,M,administrator,46005,300,300,
0.40007,0.64454,211,3.7915,86,47,M,administrator,89503,39.547,-119.902,
0.34435,0.4269,21,3.9524,87,49,F,librarian,11701,40.686,-73.412,
0.5647,0.5229,76,4.0395,88,43,F,administrator,68106,41.239,-95.999,
0.77264,0.62251,300,4.2233,89,60,M,educator,78155,29.579,-97.952,
0.5461,0.63048,98,3.8878,90,55,M,marketing,1913,42.854,-70.948,
0.53376,0.36816,388,3.2448,91,32,M,entertainment,80525,40.532,-105.207,
0.33743,0.40308,20,3.35,92,48,M,executive,23112,37.454,-77.663,
0.74021,0.45889,400,3.6575,93,26,M,student,71457,31.71,-93.109,
0.59989,0.70393,278,3.4173,94,31,M,administrator,10707,40.96,-73.816,
0.62457,0.61909,56,4.2679,95,25,F,artist,75206,32.834,-96.772,
0.59025,0.63895,63,4.1587,96,43,M,artist,98006,47.552,-122.145,
0.46065,0.55545,27,3.5926,97,49,F,executive,90291,33.787,-118.299,
0.39324,0.33025,136,3.5515,98,20,M,student,63129,38.457,-90.328,
0.37072,0.33193,59,3.0678,99,36,M,executive,90254,33.787,-118.299,
0.25654,0.45947,67,2.8955,100,15,M,student,5146,43.18,-72.606,
0.4075,0.48588,216,2.6157,101,38,M,programmer,30220,33.276,-84.741,
0.52854,0.42476,29,3.6207,102,26,M,student,55108,44.981,-93.177,
0.61429,0.41756,111,2.6667,103,27,M,student,55108,44.981,-93.177,
0.47854,0.43805,23,3.3913,104,24,M,engineer,94043,37.189,-121.705,
0.64416,0.54994,64,3.7656,105,61,M,retired,55125,44.92,-92.944,
0.54402,0.41337,22,3,106,39,M,scientist,60466,41.812,-87.687,
0.56348,0.49369,33,3.5758,107,44,M,educator,63130,38.667,-90.323,
0.41999,0.64798,234,3.4402,108,29,M,other,55423,44.876,-93.255,
0.19406,0.4672,133,3.0451,109,19,M,student,77840,30.582,-96.289,
0.53314,0.48693,24,3.5417,110,57,M,engineer,90630,33.64,-117.769,
0.46054,0.39282,46,3.6957,111,30,M,salesman,60613,41.812,-87.687,
0.25377,0.40191,51,3.7255,112,47,M,executive,95032,37.071,-121.662,
0.61545,0.58929,48,3.6042,113,27,M,programmer,75013,33.119,-96.677,
0.78461,0.50999,92,3.9348,114,31,M,engineer,17110,40.302,-76.866,
0.48208,0.39314,143,3.007,115,40,M,healthcare,97232,45.524,-122.643,
0.41199,0.39093,86,3.9186,116,20,M,student,16125,41.327,-80.288,
0.55851,0.55638,71,4.662,117,21,M,administrator,90210,33.787,-118.299,
0.39842,0.46244,181,3.9503,118,32,M,programmer,67401,38.824,-97.642,
0.53475,0.4461,26,3.5769,119,47,F,other,6260,41.863,-71.888,
0.75719,0.5827,74,3.6081,120,54,M,librarian,99603,60.056,-151.362,
0.59697,0.58288,61,3.9836,121,32,F,writer,22206,38.84,-77.089,
0.73902,0.54022,54,3.8519,122,48,F,artist,20008,38.935,-77.06,
0.40607,0.56377,24,3.5,123,34,M,student,60615,41.812,-87.687,
0.40119,0.65268,182,3.4396,124,30,M,lawyer,22202,38.854,-77.06,
0.30368,0.41232,45,3.5333,125,28,F,lawyer,20015,38.969,-77.071,
0.23293,0.41932,23,4.1304,126,33,M,none,73439,33.975,-96.698,
0.68141,0.56345,184,3.663,127,24,F,marketing,20009,38.919,-77.04,
0.51443,0.45161,30,2.6,128,36,F,marketing,7039,40.787,-74.326,
0.18236,0.4813,353,3.9858,129,20,M,none,60115,41.817,-88.791,
0.45288,0.53359,30,4.1333,130,59,F,administrator,15237,40.434,-80.025,
0.40819,0.52571,22,3.7727,131,24,M,other,94612,37.809,-122.27,
0.43975,0.43068,26,3.1923,132,53,M,engineer,78602,30.141,-97.314,
0.30764,0.4919,25,3.64,133,31,M,programmer,80236,39.65,-105.035,
0.5535,0.4684,55,3.3818,134,23,M,student,38401,35.624,-87.004,
0.58997,0.54374,35,4.3429,135,51,M,other,97365,44.552,-124.024,
0.35068,0.44099,47,4.3191,136,50,M,educator,84408,41.196,-111.948,
0.60169,0.59574,51,4.2745,137,46,M,doctor,53211,43.082,-87.89,
0.49696,0.49387,24,4,138,20,M,student,8904,40.5,-74.428,
0.4042,0.44517,21,3.4286,139,30,F,student,32250,30.28,-81.417,
0.21567,0.45427,107,3.4299,140,49,M,programmer,36117,32.37,-86.116,
0.58136,0.43253,33,3.6364,141,13,M,other,48118,42.314,-84.014,
0.27802,0.44592,20,3.9,142,42,M,technician,8832,40.518,-74.307,
0.69744,0.61925,206,3.6748,143,53,M,programmer,20910,39.003,-77.03,
0.38906,0.32698,316,3.3354,144,31,M,entertainment,V3N4P,300,300,
0.4677,0.39302,29,3.6207,145,45,M,artist,83814,47.728,-116.781,
0.45791,0.47007,20,4.2,146,40,F,librarian,2143,42.381,-71.099,
0.57927,0.61503,65,4,147,33,M,engineer,97006,45.52,-122.86,
0.50457,0.44048,36,2.8889,148,35,F,marketing,17325,39.841,-77.227,
0.45324,0.37183,32,3.8438,149,20,F,artist,2139,42.365,-71.102,
0.75334,0.63327,307,3.9967,150,38,F,administrator,48103,42.267,-83.849,
0.24608,0.54461,106,4.3208,151,33,F,educator,68767,42.224,-97.582,
0.42016,0.5813,23,2.9565,152,25,M,student,60641,41.812,-87.687,
0.62845,0.56751,51,3.9608,153,25,M,student,53703,43.053,-89.353,
0.42643,0.44846,22,2.6364,154,32,F,other,11217,40.685,-73.981,
0.61874,0.58807,37,3.7297,155,25,M,educator,8360,39.393,-75.026,
0.51725,0.46705,51,3.7843,156,57,M,engineer,70808,30.408,-91.144,
0.67173,0.51695,173,3.8035,157,50,M,educator,27606,35.716,-78.748,
0.24816,0.42524,107,3.4299,158,23,F,student,55346,44.875,-93.478,
0.72211,0.48857,120,3.9167,159,27,M,programmer,66215,38.949,-94.741,
0.43302,0.58508,58,2.5517,160,50,M,lawyer,55104,44.956,-93.167,
0.38216,0.52844,42,3.5952,161,25,M,artist,15610,40.12,-79.405,
0.54718,0.53006,23,3.3043,162,49,M,administrator,97212,45.544,-122.643,
0.33936,0.44933,63,4.127,163,47,M,healthcare,80123,39.621,-105.09,
0.51252,0.55417,30,4,164,20,F,other,53715,43.062,-89.395,
0.23533,0.42882,20,3.55,165,47,M,educator,55113,45.014,-93.157,
0.57517,0.47938,69,3.3768,166,37,M,other,L9G2B,300,300,
0.21285,0.48113,69,3.3333,167,48,M,other,80127,39.544,-105.153,
0.53187,0.63845,37,3.973,168,52,F,other,53705,43.073,-89.457,
0.2613,0.42194,22,3.7727,169,53,F,healthcare,30067,33.933,-84.462,
